Time	Temperature	Heat Flow (Normalized)
s	°C	W/g
141,500	7,11202	-0,0428266
141,600	7,12164	-0,0428294
141,700	7,13155	-0,0428395
141,800	7,14223	-0,0428462
141,900	7,15223	-0,0428681
142,000	7,16217	-0,0428965
142,100	7,17322	-0,0429193
142,200	7,18201	-0,0429378
142,300	7,19189	-0,0429583
142,400	7,20339	-0,0429746
142,500	7,21350	-0,0429885
142,600	7,22270	-0,0429947
142,700	7,23288	-0,0430015
142,800	7,24274	-0,0430020
142,900	7,25227	-0,0430047
143,000	7,26196	-0,0430146
143,100	7,27129	-0,0430172
143,200	7,28210	-0,0430127
143,300	7,29201	-0,0430178
143,400	7,30183	-0,0430205
143,500	7,31299	-0,0430118
143,600	7,32365	-0,0430105
143,700	7,33260	-0,0430082
143,800	7,34130	-0,0430062
143,900	7,35067	-0,0430093
